Designator,Mid X,Mid Y,Rotation,Layer
C1,176.713638,-130.737361,346.0,bottom
C10,223.9635,-140.030519,166.0,bottom
C100,316.316649,-118.878392,0.0,bottom
C11,243.68373,-138.325964,180.0,bottom
C12,262.683735,-136.125956,180.0,bottom
C13,281.883741,-138.325962,180.0,bottom
C14,300.883733,-140.925963,180.0,bottom
C15,159.193977,-156.258652,346.0,bottom
C16,188.241373,-167.129544,346.0,bottom
C17,213.657059,-160.792711,346.0,bottom
C18,233.506882,-155.936152,0.0,bottom
C19,252.556871,-153.650148,0.0,bottom
C2,195.197771,-126.128743,346.0,bottom
C20,271.606872,-155.936151,0.0,bottom
C21,290.656872,-158.412647,0.0,bottom
C22,153.583629,-175.770696,346.0,bottom
C23,196.256047,-186.308212,166.0,bottom
C24,223.812441,-179.437621,166.0,bottom
C25,243.683734,-176.525966,180.0,bottom
C26,262.683734,-174.125966,180.0,bottom
C27,281.883736,-176.525957,180.0,bottom
C28,300.883737,-178.92595,180.0,bottom
C29,148.93775,-216.195425,346.0,bottom
C3,213.681902,-121.520138,346.0,bottom
C30,192.837573,-205.249975,346.0,bottom
C31,245.413132,-194.036149,0.0,bottom
C32,269.225626,-194.036152,0.0,bottom
C33,300.181879,-196.512643,0.0,bottom
C34,319.881943,-179.00845,180.0,bottom
C4,233.506877,-117.836145,0.0,bottom
C5,252.556871,-115.55014,0.0,bottom
C6,271.606878,-117.836145,0.0,bottom
C7,290.656879,-120.312646,0.0,bottom
C8,130.503302,-142.258893,346.0,bottom
C9,200.986891,-145.759236,166.0,bottom
D1,188.384027,-119.814938,256.0,bottom
D10,225.339876,-130.233988,256.0,bottom
D11,247.472993,-129.111475,270.0,bottom
D12,266.522983,-126.825478,270.0,bottom
D13,285.572982,-129.111472,270.0,bottom
D14,304.622985,-131.587974,270.0,bottom
D15,160.645406,-146.364126,256.0,bottom
D16,199.911766,-156.207117,256.0,bottom
D17,225.327455,-149.870282,256.0,bottom
D18,247.472993,-148.161481,270.0,bottom
D19,266.522981,-145.875481,270.0,bottom
D2,206.868161,-115.206316,256.0,bottom
D20,285.572985,-148.161473,270.0,bottom
D21,304.622987,-150.637984,270.0,bottom
D22,165.25402,-164.848264,256.0,bottom
D23,197.588825,-176.419483,256.0,bottom
D24,225.315035,-169.506562,256.0,bottom
D25,247.472981,-167.211475,270.0,bottom
D26,266.522984,-164.925483,270.0,bottom
D27,285.572987,-167.211479,270.0,bottom
D28,304.622987,-169.687983,270.0,bottom
D29,160.608139,-205.272995,256.0,bottom
D3,225.352299,-110.597702,256.0,bottom
D30,204.507961,-194.327538,256.0,bottom
D31,259.379236,-186.261483,270.0,bottom
D32,283.191733,-186.261478,270.0,bottom
D33,314.147982,-188.737973,270.0,bottom
D34,323.672994,-169.687981,270.0,bottom
D4,247.472977,-110.061474,270.0,bottom
D5,266.522979,-107.775485,270.0,bottom
D6,285.572984,-110.061483,270.0,bottom
D7,304.622983,-112.537973,270.0,bottom
D8,142.173699,-131.336454,256.0,bottom
D9,202.234713,-135.994753,256.0,bottom
ESD1,331.193734,-126.01321,135.0,bottom
H1,302.73112,-125.500958,0.0,top
H2,226.769935,-124.65364,0.0,top
H3,149.163139,-141.651291,0.0,top
H4,162.214555,-198.599102,0.0,top
H5,205.999728,-148.415852,0.0,top
H6,229.865152,-181.051061,0.0,top
H7,286.221231,-162.362716,0.0,top
H8,329.083736,-173.125964,0.0,top
J1,320.581232,-144.535967,270.0,top
LED1,181.831639,-130.227373,346.0,bottom
LED10,218.787487,-140.646434,346.0,bottom
LED11,238.596227,-137.629455,0.0,bottom
LED12,257.64623,-135.343453,0.0,bottom
LED13,276.696231,-137.629457,0.0,bottom
LED14,295.74623,-140.105955,0.0,bottom
LED15,154.093017,-156.776572,346.0,bottom
LED16,193.359372,-166.619551,346.0,bottom
LED17,218.775069,-160.282705,346.0,bottom
LED18,238.596235,-156.679456,0.0,bottom
LED19,257.646229,-154.393457,0.0,bottom
LED2,200.315769,-125.618747,346.0,bottom
LED20,276.696236,-156.679455,0.0,bottom
LED21,295.746234,-159.155948,0.0,bottom
LED22,158.701631,-175.260699,346.0,bottom
LED23,191.036443,-186.831917,346.0,bottom
LED24,218.762641,-179.919004,346.0,bottom
LED25,238.596232,-175.729456,0.0,bottom
LED26,257.646225,-173.443458,0.0,bottom
LED27,276.69623,-175.729461,0.0,bottom
LED28,295.746231,-178.205957,0.0,bottom
LED29,154.05575,-215.685427,346.0,bottom
