Designator,Mid X,Mid Y,Rotation,Layer
LED3,218.799899,-121.010139,346.0,bottom
LED30,197.955564,-204.739976,346.0,bottom
LED31,250.502481,-194.779457,0.0,bottom
LED32,274.31498,-194.779448,0.0,bottom
LED33,305.27123,-197.25595,0.0,bottom
LED34,314.79623,-178.205961,0.0,bottom
LED4,238.596226,-118.579458,0.0,bottom
LED5,257.64623,-116.293445,0.0,bottom
LED6,276.696233,-118.579461,0.0,bottom
LED7,295.746234,-121.055959,0.0,bottom
LED8,135.621301,-141.748896,346.0,bottom
LED9,195.682321,-146.40719,346.0,bottom
MX1,180.602683,-125.298267,346.0,bottom
MX10,217.558522,-135.717325,346.0,bottom
MX11,238.59624,-132.549462,0.0,bottom
MX12,257.646238,-130.263457,0.0,bottom
MX13,276.69623,-132.549459,0.0,bottom
MX14,295.746236,-135.025956,0.0,bottom
MX15,152.864059,-151.847473,346.0,bottom
MX16,192.130426,-161.690459,346.0,bottom
MX17,217.546105,-155.353618,346.0,bottom
MX18,238.596239,-151.599461,0.0,bottom
MX19,257.64623,-149.313461,0.0,bottom
MX2,199.086812,-120.689658,346.0,bottom
MX20,276.696235,-151.599456,0.0,bottom
MX21,295.746235,-154.075958,0.0,bottom
MX22,157.472675,-170.331602,346.0,bottom
MX23,189.807483,-181.90282,346.0,bottom
MX24,217.533681,-174.989901,346.0,bottom
MX25,238.596231,-170.649461,0.0,bottom
MX26,257.646226,-168.363464,0.0,bottom
MX27,276.696228,-170.649467,0.0,bottom
MX28,295.746235,-173.125965,0.0,bottom
MX29,152.826794,-210.756338,346.0,bottom
MX3,217.570943,-116.081042,346.0,bottom
MX30,196.72661,-199.810867,346.0,bottom
MX31,250.502488,-189.699455,0.0,bottom
MX32,274.31499,-189.699461,0.0,bottom
MX33,305.271234,-192.175955,0.0,bottom
MX34,314.79623,-173.125959,0.0,bottom
MX4,238.596234,-113.499454,0.0,bottom
MX5,257.646233,-111.21346,0.0,bottom
MX6,276.696232,-113.499467,0.0,bottom
MX7,295.746232,-115.975964,0.0,bottom
MX8,134.392345,-136.819795,346.0,bottom
MX9,194.453362,-141.478095,346.0,bottom
Q1,147.144452,-132.457617,166.0,bottom
R1,146.13385,-128.404296,346.0,bottom
R2,308.996233,-142.470967,90.0,bottom
U3,316.316659,-116.078395,270.0,bottom
